id1,id2,id3,inv_0,inv_1,inv_2,inv_3,inv_4,inv_5,inv_6
02-1-143584,02-1-143564,02-1-143578,-727.3495657676399,-232.37672210359517,-202.56795808129044,-111.46373097606875,-94.19887864880587,-25.17707664088755,-19.91031891974373
02-1-143564,02-1-143631,02-1-143578,-1244.116968523919,-242.34436531431328,-232.37672210359517,-202.56795808129044,-174.28140367713212,-73.8961259161324,-62.0753924629434
02-1-143581,02-1-143564,02-1-143631,-652.6767339274553,-159.72019565118518,-150.3001878231774,-73.8961259161324,-65.01640229451607,-62.0753924629434,-49.811025566929544
02-1-143582,02-1-143564,02-1-143584,-252.6225812777565,-111.46373097606875,-94.19887864880587,-39.75948966420623,-27.51793131478788,-8.150678722853229,-3.834365113760427
02-1-143583,02-1-143564,02-1-143631,-1051.2172872678434,-260.84445371748933,-216.47885531834183,-130.72450202678263,-125.68682518328103,-73.8961259161324,-62.0753924629434
02-1-143584,02-1-143564,02-1-143631,-806.4937820654087,-175.6828368320205,-169.96459564484667,-111.46373097606875,-94.19887864880587,-73.8961259161324,-62.0753924629434
02-1-143581,02-1-143571,02-1-143578,-668.5454797357928,-282.05649967058025,-243.08642555970607,-55.25571108238046,-50.368870605663574,-45.01891283401096,-44.543266916081905
02-1-143582,02-1-143571,02-1-143578,-415.6277389036551,-282.05649967058025,-243.08642555970607,-60.31459618544892,-28.738978452870498,-27.97146054575269,-9.48012694131581
02-1-143583,02-1-143571,02-1-143578,-739.7434625307069,-282.05649967058025,-243.08642555970607,-134.62046211154058,-79.54468230074576,-50.65841631503088,-49.040841732378624
02-1-143571,02-1-143578,02-1-143584,-664.1227073745895,-282.05649967058025,-243.08642555970607,-117.50972901193535,-83.93200524550116,-25.17707664088755,-19.91031891974373
02-1-143571,02-1-143631,02-1-143578,-1920.4088837893178,-282.05649967058025,-263.7017017701546,-258.3846623262,-243.08642555970607,-242.34436531431328,-174.28140367713212
02-1-143581,02-1-143571,02-1-143631,-987.4568105683553,-263.7017017701546,-258.3846623262,-159.72019565118518,-150.3001878231774,-55.25571108238046,-44.543266916081905
02-1-143582,02-1-143571,02-1-143584,-161.62423136494647,-117.50972901193535,-83.93200524550116,-27.97146054575269,-9.48012694131581,-8.150678722853229,-3.834365113760427
02-1-143583,02-1-143571,02-1-143631,-1673.6285814742369,-263.7017017701546,-260.84445371748933,-258.3846623262,-216.47885531834183,-134.62046211154058,-79.54468230074576
02-1-143584,02-1-143571,02-1-143631,-1249.333736911262,-263.7017017701546,-258.3846623262,-175.6828368320205,-169.96459564484667,-117.50972901193535,-83.93200524550116
02-1-143580,02-1-143581,02-1-143578,-144.17426414085864,-50.368870605663574,-45.01891283401096,-34.93955475970887,-19.650018616290453,-14.463664553011043,-7.559860398282282
02-1-143582,02-1-143578,02-1-143580,-143.90642086969058,-60.31459618544892,-28.738978452870498,-18.418007264546304,-16.78007165725829,-14.463664553011043,-7.559860398282282
02-1-143580,02-1-143583,02-1-143578,-159.93311298390154,-50.65841631503088,-49.040841732378624,-29.20378727611495,-21.826789851208147,-14.463664553011043,-7.559860398282282
02-1-143580,02-1-143584,02-1-143578,-87.21290305249349,-25.17707664088755,-19.91031891974373,-16.09281708946949,-14.463664553011043,-9.918371094741225,-7.559860398282282
02-1-143580,02-1-143578,02-1-143601,-170.46769408181518,-72.73084482347178,-70.66732181879865,-14.463664553011043,-7.9923117273174284,-7.559860398282282,-5.777099876405941
02-1-143581,02-1-143578,02-1-143601,-612.8782304266085,-196.18151573307892,-143.50208979277403,-72.73084482347178,-70.66732181879865,-50.368870605663574,-45.01891283401096
02-1-143581,02-1-143631,02-1-143578,-905.5022195881734,-242.34436531431328,-174.28140367713212,-159.72019565118518,-150.3001878231774,-50.368870605663574,-45.01891283401096
02-1-143584,02-1-143582,02-1-143578,-147.09610665429003,-60.31459618544892,-28.738978452870498,-25.17707664088755,-19.91031891974373,-8.150678722853229,-3.834365113760427
02-1-143582,02-1-143578,02-1-143601,-524.681466836691,-124.28916156171704,-90.46559096863021,-72.73084482347178,-70.66732181879865,-60.31459618544892,-28.738978452870498
02-1-143583,02-1-143578,02-1-143601,-682.9727525006167,-198.6650891497777,-187.70616542079864,-72.73084482347178,-70.66732181879865,-50.65841631503088,-49.040841732378624
02-1-143583,02-1-143631,02-1-143578,-938.8570510663328,-260.84445371748933,-242.34436531431328,-216.47885531834183,-174.28140367713212,-50.65841631503088,-49.040841732378624
02-1-143584,02-1-143578,02-1-143601,-460.2198056496736,-126.5560364884991,-105.36018715670963,-72.73084482347178,-70.66732181879865,-25.17707664088755,-19.91031891974373
02-1-143584,02-1-143631,02-1-143578,-798.1703366082497,-242.34436531431328,-175.6828368320205,-174.28140367713212,-169.96459564484667,-25.17707664088755,-19.91031891974373
02-1-143601,02-1-143578,02-1-143619,-473.8231317558251,-118.28625518249112,-93.22787191357378,-72.73084482347178,-70.66732181879865,-63.71763399997363,-42.934863663762656
02-1-143578,02-1-143608,02-1-143619,-427.79273102388356,-146.5649318063571,-120.55590660723038,-118.28625518249112,-63.71763399997363,-28.06549428586291,-13.420495582979974
02-1-143578,02-1-143609,02-1-143619,-308.08744342376394,-118.28625518249112,-93.73548159218649,-63.71763399997363,-46.060544929653815,-24.963127000569088,-17.464778130899973
02-1-143578,02-1-143631,02-1-143609,-693.9726077080743,-242.34436531431328,-178.0190240298267,-174.28140367713212,-95.89752993675819,-93.73548159218649,-46.060544929653815
02-1-143581,02-1-143601,02-1-143580,-312.03014536402134,-196.18151573307892,-143.50208979277403,-34.93955475970887,-19.650018616290453,-7.9923117273174284,-5.777099876405941
02-1-143582,02-1-143584,02-1-143580,-89.83875884801739,-18.418007264546304,-16.78007165725829,-16.09281708946949,-9.918371094741225,-8.150678722853229,-3.834365113760427
02-1-143582,02-1-143580,02-1-143601,-261.87025809621605,-124.28916156171704,-90.46559096863021,-18.418007264546304,-16.78007165725829,-7.9923117273174284,-5.777099876405941
02-1-143583,02-1-143601,02-1-143580,-383.3465477915338,-198.6650891497777,-187.70616542079864,-29.20378727611495,-21.826789851208147,-7.9923117273174284,-5.777099876405941
02-1-143580,02-1-143584,02-1-143601,-222.9549890604996,-126.5560364884991,-105.36018715670963,-16.09281708946949,-9.918371094741225,-7.9923117273174284,-5.777099876405941
02-1-143582,02-1-143584,02-1-143601,-476.1363949437962,-126.5560364884991,-124.28916156171704,-105.36018715670963,-90.46559096863021,-8.150678722853229,-3.834365113760427
02-1-143625,02-1-143604,02-1-143624,-96.96605384624746,-56.58201386387816,-29.901054741463064,-21.61818449316742,-7.655860473073261,-2.075371632296502,-1.1842881907083687
02-1-143636,02-1-143604,02-1-143624,-45.710975267556336,-20.99347910340965,-9.74647598176455,-8.129503058322626,-2.075371632296502,-1.1842881907083687,-0.8754689859822946
