CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,DIAM_CIRC_IMG
02-1-138045,42.2191,198.097,2.73572
02-1-138056,41.8421,196.715,1.04408
02-1-138057,42.0045,196.728,3.77869
02-1-138062,42.1743,196.785,1.80412
02-1-138063,42.1349,196.831,1.37042
02-1-139326,42.4124,196.725,4.4673
02-1-139332,42.1164,196.902,1.24265
02-1-139333,42.1514,196.894,1.49398
02-1-139334,42.1809,196.85,1.38354
02-1-139335,42.379,197.049,2.92095
02-1-139336,42.2767,197.104,2.13488
02-1-139340,42.6472,196.88,1.08471
02-1-139341,42.5637,196.894,1.83026
02-1-139342,42.5779,196.737,2.16138
02-1-139343,42.6417,196.817,4.14279
02-1-139344,42.7582,196.838,1.3038
02-1-139345,42.8868,196.745,2.3234
02-1-139348,42.8427,197.137,6.55397
02-1-139349,42.7771,197.438,3.29722
02-1-139350,42.9154,197.342,1.14994
02-1-139351,42.8895,197.53,2.0749
02-1-139352,42.7744,197.62,1.46851
02-1-139353,42.9115,197.634,1.43576
02-1-139354,42.7392,197.763,2.28763
02-1-139355,42.7114,197.687,1.68112
02-1-139356,42.6025,197.492,1.28496
02-1-139357,42.4299,197.648,2.28759
02-1-139358,42.4362,197.442,4.17498
02-1-139360,42.3212,197.795,7.36094
02-1-139361,42.5676,197.925,2.43292
02-1-139362,42.4912,197.896,1.36459
02-1-139363,42.455,197.824,1.52234
02-1-139364,42.873,197.901,2.69664
02-1-139367,42.4759,198.569,2.50668
02-1-139368,42.3202,198.791,2.09792
02-1-139369,42.3441,198.457,1.67906
02-1-139370,42.3183,198.516,1.79438
02-1-139371,42.2639,198.45,1.8922
02-1-139372,42.1392,198.526,2.67178
02-1-139373,42.2117,198.207,1.27256
02-1-139374,42.2446,198.172,1.45702
02-1-139376,42.4589,198.055,1.36762
02-1-139377,42.5076,197.983,1.16101
02-1-139378,42.5049,197.705,3.75106
02-1-139379,42.6168,199.52,1.34744
02-1-139380,42.6067,199.471,1.44659
02-1-139381,42.6711,199.318,2.70959
02-1-139383,42.6904,199.032,1.79624
02-1-139384,42.651,198.742,2.97838
02-1-139385,42.4677,199.174,8.9009
02-1-139386,42.3771,199.39,7.10859
02-1-139387,42.3047,199.109,1.5034
02-1-139388,42.3777,199.951,1.86923
02-1-139393,42.8427,199.255,4.43139
02-1-139394,42.7941,199.231,1.15291
02-1-139395,42.8436,199.207,1.65951
02-1-139396,42.7329,199.232,1.15616
02-1-139397,42.8486,198.765,2.35971
02-1-139398,42.9469,198.4,1.70878
02-1-139399,42.8829,198.075,1.69847
02-1-139400,43.0488,199.09,2.16028
02-1-139401,43.0712,199.193,1.13187
02-1-139402,42.993,199.517,6.94568
02-1-139403,42.9182,199.338,1.3263
02-1-139404,42.9327,199.289,1.34296
02-1-139405,42.7774,199.122,1.78432
02-1-139406,42.718,199.658,7.1995
02-1-139407,42.8313,199.662,1.12244
02-1-139408,42.8585,199.78,3.31014
02-1-139409,42.8911,199.667,1.75384
02-1-139412,42.5951,199.821,2.79974
02-1-139413,42.5049,199.463,1.72829
02-1-139414,42.7267,199.979,7.94837
02-1-139420,43.0658,199.747,2.08389
02-1-139421,43.1653,199.788,2.72586
02-1-139422,43.1237,199.707,1.33423
02-1-139423,43.0837,199.684,1.021
02-1-143366,43.0241,199.807,1.08112
02-1-143367,43.1335,199.581,1.23683
02-1-143368,43.249,199.612,5.67753
02-1-143370,43.1623,199.481,1.20383
02-1-143371,43.1547,199.302,1.56734
02-1-143409,43.2764,199.107,2.06371
02-1-143410,43.2707,198.896,3.15845
02-1-143434,43.1504,198.994,3.62304
02-1-143435,43.069,198.918,9.34667
02-1-143436,42.8942,199.052,2.97993
02-1-143437,42.9987,199.256,3.64207
02-1-143474,43.0916,197.558,4.86998
02-1-143475,43.2172,197.398,2.80013
02-1-143476,43.2037,197.277,2.56382
02-1-143477,43.2494,197.282,1.25725
02-1-143478,43.2489,197.227,1.28039
02-1-143479,43.1619,197.085,1.05185
02-1-143481,42.8709,197.385,1.46786
02-1-143503,43.2496,197.723,2.02027
02-2-001272,40.075,198.349,1.78698
02-2-001306,40.7744,197.482,1.36497
02-2-001312,42.6089,199.2,1.67462
