id1,id2,id3,inv_0,inv_1,inv_2,inv_3,inv_4,inv_5,inv_6
02-1-144446,02-1-144450,02-1-144448,-20.39571012279663,-2.784200482490931,-2.75790658193554,-2.7176235254526944,-2.1900491334465926,-1.7875552001977368,-1.1886579997130013
02-1-149351,02-1-149313,02-1-149314,-20.200666717205394,-3.6037874496800057,-3.1018934259001156,-3.099197377409368,-2.8213189620939723,-1.914163455392739,-1.4251340679334135
02-1-149405,02-1-149403,02-1-149404,-54.065998729809166,-15.867985217290055,-9.429579018092177,-7.6231327265531945,-7.263608133427908,-5.830266730612209,-4.770265937599689
02-1-149410,02-1-149408,02-1-149409,-57.182727803606554,-17.81289804003177,-14.439802963129353,-8.558453872803284,-8.053486769419749,-1.968021706222686,-1.786100101498178
